"","Bonifazius Türme","Cinestar","City Port","Kronberger Hof","Leitrechner","Loehrstrasse","Rathaus","Rheinufergarage","Roemisches Theater","Schillerplatz","Taubertsberg","TG Augustusplatz","Uniklinikum","Wallstrasse","Gesamtergebnis"
"KW 1","450","390","970","453","1.957","144","530","497","456","420","723","577","4.309","303","12.179"
"01.01.2015","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"00:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"00:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"00:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"00:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"01:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"01:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"01:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"01:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"02:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"02:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"02:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"02:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"03:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"03:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"03:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"03:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"04:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"04:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"04:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"04:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"05:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"05:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"05:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"05:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"06:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"06:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"06:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"06:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"07:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"07:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"07:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"07:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"08:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"08:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"08:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"08:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"09:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"09:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"09:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"09:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"10:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"10:15","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"10:30","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"10:45","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
"11:00","450","321","970","412","1.957","144","530","497","456","420","667","577","4.309","303","12.013"
