"","Bediensteten","Bonifazius Türme","Cinestar","City Port","Kronberger Hof","Leitrechner","Loehrstrasse","Rathaus","Rheinufergarage","Roemisches Theater","Schillerplatz","Taubertsberg","TG Augustusplatz","Uniklinikum","Wallstrasse","Gesamtergebnis"
"KW 1","","450","440","968","477","1.934","145","515","497","433","420","767","577","4.304","303","12.214"
"04.01.2016","","450","440","968","477","1.851","145","515","497","433","420","767","577","4.304","303","12.147"
"00:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"00:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"00:30","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"00:45","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"01:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"01:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"01:30","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"01:45","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"02:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"02:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"02:30","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"02:45","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"03:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"03:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"03:30","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"03:45","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"04:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"04:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"04:30","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"04:45","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"05:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"05:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"05:30","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"05:45","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"06:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"06:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"06:30","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"06:45","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"07:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"07:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"07:30","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"07:45","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"08:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"08:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"08:30","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"08:45","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"09:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"09:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"09:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"09:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"10:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"10:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"10:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"10:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"11:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"11:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"11:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"11:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"12:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"12:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"12:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"12:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"13:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"13:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"13:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"13:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"14:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"14:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"14:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"14:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"15:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"15:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"15:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"15:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"16:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"16:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"16:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"16:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"17:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"17:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"17:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"17:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"18:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"18:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"18:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"18:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"19:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"19:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"19:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"19:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"20:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"20:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"20:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"20:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"21:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"21:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"21:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"21:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"22:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"22:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"22:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"22:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"23:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"23:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"23:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"23:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"05.01.2016","","450","440","968","477","1.901","145","515","497","433","420","767","577","4.304","303","12.197"
"00:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"00:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"00:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"00:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"01:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"01:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"01:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"01:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"02:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"02:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"02:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"02:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"03:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"03:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"03:30","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"03:45","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"04:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"04:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"04:30","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"04:45","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"05:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"05:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"05:30","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"05:45","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"06:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"06:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"06:30","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"06:45","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"07:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"07:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"07:30","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"07:45","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"08:00","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"08:15","","450","440","968","477","1.690","145","515","497","433","420","767","577","4.304","303","11.986"
"08:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"08:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"09:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"09:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"09:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"09:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"10:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"10:15","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"10:30","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"10:45","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
"11:00","","450","440","968","477","1.957","145","515","497","433","420","767","577","4.304","303","12.253"
