"","Bediensteten","Cinestar","City Port","Kronberger Hof","Leitrechner","Loehrstrasse","Rathaus","Rheinallee","Rheinufergarage","Roemisches Theater","Schillerplatz","Taubertsberg","TG Augustusplatz","Uniklinikum","Wallstrasse","Zollhafen","Gesamtergebnis"
"KW 1","477","454","999","475","1.897","141","492","249","480","440","420","767","577","3.708","290","174","11.823"
"01.01.2018","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"00:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"00:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"00:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"00:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"01:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"01:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"01:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"01:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"02:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"02:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"02:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"02:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"03:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"03:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"03:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"03:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"04:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"04:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"04:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"04:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"05:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"05:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"05:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"05:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"06:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"06:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"06:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"06:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"07:00","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"07:15","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"07:30","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
"07:45","474","453","999","476","1.897","141","487","","497","434","420","767","577","3.708","290","174","11.794"
